experiment_name,dataset,backbone_name,num_classes,num_epochs,lr,batch_size,seed,lora_rank,num_coupling_layers,dia_n_blocks,lambda_logdet,tail_weight,score_aggregation_top_k,tail_top_k,scale_context_kernel,spatial_context_kernel,use_lora,use_dia,use_whitening_adapter,use_router,use_pos_embedding,use_spatial_context,use_scale_context,use_task_adapter,adapter_mode,cl_scenario,Image_AUC,Pixel_AUC,Pixel_AP,Routing_Acc
MVTec-WRN50-LogdetReg1e-4-DIA6-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,6,0.0001,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9832,0.9755,0.494,100.0
MVTec-WRN50-LogdetReg1e-4-DIA8,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,8,0.0001,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9828,0.975,0.4831,100.0
MVTec-WRN50-LogdetReg1e-4-ScaleCtxK5,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,,,,5,3,True,True,True,True,True,True,True,True,whitening,,0.9796,0.976,0.5168,100.0
MVTec-WRN50-LogdetReg1e-4-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0001,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9817,0.9757,0.5086,100.0
MVTec-WRN50-LogdetReg1e-6,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-06,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9794,0.9734,0.47,100.0
MVTec-WRN50-Percentile95,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9565,0.9736,0.4735,100.0
MVTec-WRN50-ScaleCtxK5,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,,5,3,True,True,True,True,True,True,True,True,whitening,,0.9787,0.9746,0.487,100.0
MVTec-WRN50-SemanticProj,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9791,0.9727,0.4534,100.0
MVTec-WRN50-SpatialCluster,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9786,0.9736,0.4735,100.0
MVTec-WRN50-SpatialCtxK5,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,,3,5,True,True,True,True,True,True,True,True,whitening,,0.978,0.9729,0.457,100.0
